problem with field [14,11] -> [425,335]/(896, 476), color is ((211, 215, 207))
problem with field [23,9] -> [695,275]/(896, 476), color is ((119, 124, 121))
problem with field [24,9] -> [725,275]/(896, 476), color is ((119, 124, 121))
problem with field [25,9] -> [755,275]/(896, 476), color is ((119, 124, 121))
problem with field [26,9] -> [785,275]/(896, 476), color is ((119, 124, 121))
problem with field [27,9] -> [815,275]/(896, 476), color is ((119, 124, 121))
problem with field [28,9] -> [845,275]/(896, 476), color is ((119, 124, 121))
problem with field [29,9] -> [875,275]/(896, 476), color is ((119, 124, 121))
problem with field [0,10] -> [5,305]/(896, 476), color is ((119, 124, 121))
problem with field [1,10] -> [35,305]/(896, 476), color is ((119, 124, 121))
problem with field [2,10] -> [65,305]/(896, 476), color is ((119, 124, 121))
problem with field [3,10] -> [95,305]/(896, 476), color is ((119, 124, 121))
problem with field [4,10] -> [125,305]/(896, 476), color is ((119, 124, 121))
problem with field [5,10] -> [155,305]/(896, 476), color is ((119, 124, 121))
problem with field [6,10] -> [185,305]/(896, 476), color is ((119, 124, 121))
problem with field [7,10] -> [215,305]/(896, 476), color is ((119, 124, 121))
problem with field [8,10] -> [245,305]/(896, 476), color is ((119, 124, 121))
problem with field [9,10] -> [275,305]/(896, 476), color is ((119, 124, 121))
problem with field [10,10] -> [305,305]/(896, 476), color is ((119, 124, 121))
problem with field [11,10] -> [335,305]/(896, 476), color is ((119, 124, 121))
problem with field [12,10] -> [365,305]/(896, 476), color is ((119, 124, 121))
problem with field [13,10] -> [395,305]/(896, 476), color is ((119, 124, 121))
problem with field [14,10] -> [425,305]/(896, 476), color is ((119, 124, 121))
problem with field [15,10] -> [455,305]/(896, 476), color is ((119, 124, 121))
problem with field [16,10] -> [485,305]/(896, 476), color is ((119, 124, 121))
problem with field [17,10] -> [515,305]/(896, 476), color is ((119, 124, 121))
problem with field [18,10] -> [545,305]/(896, 476), color is ((119, 124, 121))
problem with field [19,10] -> [575,305]/(896, 476), color is ((119, 124, 121))
problem with field [20,10] -> [605,305]/(896, 476), color is ((119, 124, 121))
problem with field [21,10] -> [635,305]/(896, 476), color is ((119, 124, 121))
problem with field [22,10] -> [665,305]/(896, 476), color is ((119, 124, 121))
problem with field [23,10] -> [695,305]/(896, 476), color is ((119, 124, 121))
problem with field [24,10] -> [725,305]/(896, 476), color is ((119, 124, 121))
problem with field [25,10] -> [755,305]/(896, 476), color is ((119, 124, 121))
problem with field [26,10] -> [785,305]/(896, 476), color is ((119, 124, 121))
problem with field [27,10] -> [815,305]/(896, 476), color is ((119, 124, 121))
problem with field [28,10] -> [845,305]/(896, 476), color is ((119, 124, 121))
problem with field [29,10] -> [875,305]/(896, 476), color is ((119, 124, 121))
problem with field [0,11] -> [5,335]/(896, 476), color is ((119, 124, 121))
problem with field [1,11] -> [35,335]/(896, 476), color is ((119, 124, 121))
problem with field [2,11] -> [65,335]/(896, 476), color is ((119, 124, 121))
problem with field [3,11] -> [95,335]/(896, 476), color is ((119, 124, 121))
problem with field [4,11] -> [125,335]/(896, 476), color is ((119, 124, 121))
problem with field [5,11] -> [155,335]/(896, 476), color is ((119, 124, 121))
problem with field [6,11] -> [185,335]/(896, 476), color is ((119, 124, 121))
problem with field [7,11] -> [215,335]/(896, 476), color is ((119, 124, 121))
problem with field [8,11] -> [245,335]/(896, 476), color is ((119, 124, 121))
problem with field [9,11] -> [275,335]/(896, 476), color is ((119, 124, 121))
problem with field [10,11] -> [305,335]/(896, 476), color is ((119, 124, 121))
problem with field [11,11] -> [335,335]/(896, 476), color is ((119, 124, 121))
problem with field [12,11] -> [365,335]/(896, 476), color is ((119, 124, 121))
problem with field [13,11] -> [395,335]/(896, 476), color is ((119, 124, 121))
problem with field [14,11] -> [425,335]/(896, 476), color is ((119, 124, 121))
problem with field [15,11] -> [455,335]/(896, 476), color is ((119, 124, 121))
problem with field [16,11] -> [485,335]/(896, 476), color is ((119, 124, 121))
problem with field [17,11] -> [515,335]/(896, 476), color is ((119, 124, 121))
problem with field [18,11] -> [545,335]/(896, 476), color is ((119, 124, 121))
problem with field [19,11] -> [575,335]/(896, 476), color is ((119, 124, 121))
problem with field [20,11] -> [605,335]/(896, 476), color is ((119, 124, 121))
problem with field [21,11] -> [635,335]/(896, 476), color is ((119, 124, 121))
problem with field [22,11] -> [665,335]/(896, 476), color is ((119, 124, 121))
problem with field [23,11] -> [695,335]/(896, 476), color is ((119, 124, 121))
problem with field [24,11] -> [725,335]/(896, 476), color is ((119, 124, 121))
problem with field [25,11] -> [755,335]/(896, 476), color is ((119, 124, 121))
problem with field [26,11] -> [785,335]/(896, 476), color is ((119, 124, 121))
problem with field [27,11] -> [815,335]/(896, 476), color is ((119, 124, 121))
problem with field [28,11] -> [845,335]/(896, 476), color is ((119, 124, 121))
problem with field [29,11] -> [875,335]/(896, 476), color is ((119, 124, 121))
problem with field [0,12] -> [5,365]/(896, 476), color is ((119, 124, 121))
problem with field [1,12] -> [35,365]/(896, 476), color is ((119, 124, 121))
problem with field [2,12] -> [65,365]/(896, 476), color is ((119, 124, 121))
problem with field [3,12] -> [95,365]/(896, 476), color is ((119, 124, 121))
problem with field [4,12] -> [125,365]/(896, 476), color is ((119, 124, 121))
problem with field [5,12] -> [155,365]/(896, 476), color is ((119, 124, 121))
problem with field [6,12] -> [185,365]/(896, 476), color is ((119, 124, 121))
problem with field [7,12] -> [215,365]/(896, 476), color is ((119, 124, 121))
problem with field [8,12] -> [245,365]/(896, 476), color is ((119, 124, 121))
problem with field [9,12] -> [275,365]/(896, 476), color is ((119, 124, 121))
problem with field [10,12] -> [305,365]/(896, 476), color is ((119, 124, 121))
problem with field [11,12] -> [335,365]/(896, 476), color is ((119, 124, 121))
problem with field [12,12] -> [365,365]/(896, 476), color is ((119, 124, 121))
problem with field [13,12] -> [395,365]/(896, 476), color is ((119, 124, 121))
problem with field [14,12] -> [425,365]/(896, 476), color is ((119, 124, 121))
problem with field [15,12] -> [455,365]/(896, 476), color is ((119, 124, 121))
problem with field [16,12] -> [485,365]/(896, 476), color is ((119, 124, 121))
problem with field [17,12] -> [515,365]/(896, 476), color is ((119, 124, 121))
problem with field [18,12] -> [545,365]/(896, 476), color is ((119, 124, 121))
problem with field [19,12] -> [575,365]/(896, 476), color is ((119, 124, 121))
problem with field [20,12] -> [605,365]/(896, 476), color is ((119, 124, 121))
problem with field [21,12] -> [635,365]/(896, 476), color is ((119, 124, 121))
problem with field [22,12] -> [665,365]/(896, 476), color is ((119, 124, 121))
problem with field [23,12] -> [695,365]/(896, 476), color is ((119, 124, 121))
problem with field [24,12] -> [725,365]/(896, 476), color is ((119, 124, 121))
problem with field [25,12] -> [755,365]/(896, 476), color is ((119, 124, 121))
problem with field [26,12] -> [785,365]/(896, 476), color is ((119, 124, 121))
problem with field [27,12] -> [815,365]/(896, 476), color is ((119, 124, 121))
problem with field [28,12] -> [845,365]/(896, 476), color is ((119, 124, 121))
problem with field [29,12] -> [875,365]/(896, 476), color is ((119, 124, 121))
problem with field [0,13] -> [5,395]/(896, 476), color is ((119, 124, 121))
problem with field [1,13] -> [35,395]/(896, 476), color is ((119, 124, 121))
problem with field [2,13] -> [65,395]/(896, 476), color is ((119, 124, 121))
problem with field [3,13] -> [95,395]/(896, 476), color is ((119, 124, 121))
problem with field [4,13] -> [125,395]/(896, 476), color is ((119, 124, 121))
problem with field [5,13] -> [155,395]/(896, 476), color is ((119, 124, 121))
problem with field [6,13] -> [185,395]/(896, 476), color is ((119, 124, 121))
problem with field [7,13] -> [215,395]/(896, 476), color is ((119, 124, 121))
problem with field [8,13] -> [245,395]/(896, 476), color is ((119, 124, 121))
problem with field [9,13] -> [275,395]/(896, 476), color is ((119, 124, 121))
problem with field [10,13] -> [305,395]/(896, 476), color is ((119, 124, 121))
problem with field [11,13] -> [335,395]/(896, 476), color is ((119, 124, 121))
problem with field [12,13] -> [365,395]/(896, 476), color is ((119, 124, 121))
problem with field [13,13] -> [395,395]/(896, 476), color is ((119, 124, 121))
problem with field [14,13] -> [425,395]/(896, 476), color is ((119, 124, 121))
problem with field [15,13] -> [455,395]/(896, 476), color is ((119, 124, 121))
problem with field [16,13] -> [485,395]/(896, 476), color is ((119, 124, 121))
problem with field [17,13] -> [515,395]/(896, 476), color is ((119, 124, 121))
problem with field [18,13] -> [545,395]/(896, 476), color is ((119, 124, 121))
problem with field [19,13] -> [575,395]/(896, 476), color is ((119, 124, 121))
problem with field [20,13] -> [605,395]/(896, 476), color is ((119, 124, 121))
problem with field [21,13] -> [635,395]/(896, 476), color is ((119, 124, 121))
problem with field [22,13] -> [665,395]/(896, 476), color is ((119, 124, 121))
problem with field [23,13] -> [695,395]/(896, 476), color is ((119, 124, 121))
problem with field [24,13] -> [725,395]/(896, 476), color is ((119, 124, 121))
problem with field [25,13] -> [755,395]/(896, 476), color is ((119, 124, 121))
problem with field [26,13] -> [785,395]/(896, 476), color is ((119, 124, 121))
problem with field [27,13] -> [815,395]/(896, 476), color is ((119, 124, 121))
problem with field [28,13] -> [845,395]/(896, 476), color is ((119, 124, 121))
problem with field [29,13] -> [875,395]/(896, 476), color is ((119, 124, 121))
problem with field [0,14] -> [5,425]/(896, 476), color is ((119, 124, 121))
problem with field [1,14] -> [35,425]/(896, 476), color is ((119, 124, 121))
problem with field [2,14] -> [65,425]/(896, 476), color is ((119, 124, 121))
problem with field [3,14] -> [95,425]/(896, 476), color is ((119, 124, 121))
problem with field [4,14] -> [125,425]/(896, 476), color is ((119, 124, 121))
problem with field [5,14] -> [155,425]/(896, 476), color is ((119, 124, 121))
problem with field [6,14] -> [185,425]/(896, 476), color is ((119, 124, 121))
problem with field [7,14] -> [215,425]/(896, 476), color is ((119, 124, 121))
problem with field [8,14] -> [245,425]/(896, 476), color is ((119, 124, 121))
problem with field [9,14] -> [275,425]/(896, 476), color is ((119, 124, 121))
problem with field [10,14] -> [305,425]/(896, 476), color is ((119, 124, 121))
problem with field [11,14] -> [335,425]/(896, 476), color is ((119, 124, 121))
problem with field [12,14] -> [365,425]/(896, 476), color is ((119, 124, 121))
problem with field [13,14] -> [395,425]/(896, 476), color is ((119, 124, 121))
problem with field [14,14] -> [425,425]/(896, 476), color is ((119, 124, 121))
problem with field [15,14] -> [455,425]/(896, 476), color is ((119, 124, 121))
problem with field [16,14] -> [485,425]/(896, 476), color is ((119, 124, 121))
problem with field [17,14] -> [515,425]/(896, 476), color is ((119, 124, 121))
problem with field [18,14] -> [545,425]/(896, 476), color is ((119, 124, 121))
problem with field [19,14] -> [575,425]/(896, 476), color is ((119, 124, 121))
problem with field [20,14] -> [605,425]/(896, 476), color is ((119, 124, 121))
problem with field [21,14] -> [635,425]/(896, 476), color is ((119, 124, 121))
problem with field [22,14] -> [665,425]/(896, 476), color is ((119, 124, 121))
problem with field [23,14] -> [695,425]/(896, 476), color is ((119, 124, 121))
problem with field [24,14] -> [725,425]/(896, 476), color is ((119, 124, 121))
problem with field [25,14] -> [755,425]/(896, 476), color is ((119, 124, 121))
problem with field [26,14] -> [785,425]/(896, 476), color is ((119, 124, 121))
problem with field [27,14] -> [815,425]/(896, 476), color is ((119, 124, 121))
problem with field [28,14] -> [845,425]/(896, 476), color is ((119, 124, 121))
problem with field [29,14] -> [875,425]/(896, 476), color is ((119, 124, 121))
problem with field [0,15] -> [5,455]/(896, 476), color is ((119, 124, 121))
problem with field [1,15] -> [35,455]/(896, 476), color is ((119, 124, 121))
problem with field [2,15] -> [65,455]/(896, 476), color is ((119, 124, 121))
problem with field [3,15] -> [95,455]/(896, 476), color is ((119, 124, 121))
problem with field [4,15] -> [125,455]/(896, 476), color is ((119, 124, 121))
problem with field [5,15] -> [155,455]/(896, 476), color is ((119, 124, 121))
problem with field [6,15] -> [185,455]/(896, 476), color is ((119, 124, 121))
problem with field [7,15] -> [215,455]/(896, 476), color is ((119, 124, 121))
problem with field [8,15] -> [245,455]/(896, 476), color is ((119, 124, 121))
problem with field [9,15] -> [275,455]/(896, 476), color is ((119, 124, 121))
problem with field [10,15] -> [305,455]/(896, 476), color is ((119, 124, 121))
problem with field [11,15] -> [335,455]/(896, 476), color is ((119, 124, 121))
problem with field [12,15] -> [365,455]/(896, 476), color is ((119, 124, 121))
problem with field [13,15] -> [395,455]/(896, 476), color is ((119, 124, 121))
problem with field [14,15] -> [425,455]/(896, 476), color is ((119, 124, 121))
problem with field [15,15] -> [455,455]/(896, 476), color is ((119, 124, 121))
problem with field [16,15] -> [485,455]/(896, 476), color is ((119, 124, 121))
problem with field [17,15] -> [515,455]/(896, 476), color is ((119, 124, 121))
problem with field [18,15] -> [545,455]/(896, 476), color is ((119, 124, 121))
problem with field [19,15] -> [575,455]/(896, 476), color is ((119, 124, 121))
problem with field [20,15] -> [605,455]/(896, 476), color is ((119, 124, 121))
problem with field [21,15] -> [635,455]/(896, 476), color is ((119, 124, 121))
problem with field [22,15] -> [665,455]/(896, 476), color is ((119, 124, 121))
problem with field [23,15] -> [695,455]/(896, 476), color is ((119, 124, 121))
problem with field [24,15] -> [725,455]/(896, 476), color is ((119, 124, 121))
problem with field [25,15] -> [755,455]/(896, 476), color is ((119, 124, 121))
problem with field [26,15] -> [785,455]/(896, 476), color is ((119, 124, 121))
problem with field [27,15] -> [815,455]/(896, 476), color is ((119, 124, 121))
problem with field [28,15] -> [845,455]/(896, 476), color is ((119, 124, 121))
problem with field [29,15] -> [875,455]/(896, 476), color is ((119, 124, 121))
